            conname             | connamespace | contype | condeferrable | condeferred | convalidated | conrelid | contypid | conindid | confrelid | confupdtype | confdeltype | confmatchtype | conislocal | coninhcount | connoinherit | conkey | confkey | conpfeqop | conppeqop | conffeqop | conexclop |                                                                                                                                                                                                                                                                                                                                                                                                                          conbin                                                                                                                                                                                                                                                                                                                                                                                                                           |                                           consrc                                           
--------------------------------+--------------+---------+---------------+-------------+--------------+----------+----------+----------+-----------+-------------+-------------+---------------+------------+-------------+--------------+--------+---------+-----------+-----------+-----------+-----------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------
 cardinal_number_domain_check   |        12333 | c       | f             | f           | t            |        0 |    12346 |        0 |         0 |             |             |               | t          |           0 | f            |        |         |           |           |           |           | {OPEXPR :opno 525 :opfuncid 150 :opresulttype 16 :opretset false :opcollid 0 :inputcollid 0 :args ({COERCETODOMAINVALUE :typeId 23 :typeMod -1 :collation 0 :location 5509} {CONST :consttype 23 :consttypmod -1 :constcollid 0 :constlen 4 :constbyval true :constisnull false :location 5518 :constvalue 4 [ 0 0 0 0 0 0 0 0 ]}) :location 5515}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | (VALUE >= 0)
 yes_or_no_check                |        12333 | c       | f             | f           | t            |        0 |    12355 |        0 |         0 |             |             |               | t          |           0 | f            |        |         |           |           |           |           | {SCALARARRAYOPEXPR :opno 98 :opfuncid 67 :useOr true :inputcollid 100 :args ({RELABELTYPE :arg {COERCETODOMAINVALUE :typeId 1043 :typeMod 7 :collation 100 :location 6193} :resulttype 25 :resulttypmod -1 :resultcollid 100 :relabelformat 2 :location -1} {ARRAYCOERCEEXPR :arg {ARRAY :array_typeid 1015 :array_collid 100 :element_typeid 1043 :elements ({CONST :consttype 1043 :consttypmod -1 :constcollid 100 :constlen -1 :constbyval false :constisnull false :location 6203 :constvalue 7 [ 28 0 0 0 89 69 83 ]} {CONST :consttype 1043 :consttypmod -1 :constcollid 100 :constlen -1 :constbyval false :constisnull false :location 6210 :constvalue 6 [ 24 0 0 0 78 79 ]}) :multidims false :location -1} :elemfuncid 0 :resulttype 1009 :resulttypmod -1 :resultcollid 100 :isExplicit false :coerceformat 2 :location -1}) :location 6199} | ((VALUE)::text = ANY ((ARRAY['YES'::character varying, 'NO'::character varying])::text[]))
 year_check                     |        16605 | c       | f             | f           | t            |        0 |    16623 |        0 |         0 |             |             |               | t          |           0 | f            |        |         |           |           |           |           | {BOOLEXPR :boolop and :args ({OPEXPR :opno 525 :opfuncid 150 :opresulttype 16 :opretset false :opcollid 0 :inputcollid 0 :args ({COERCETODOMAINVALUE :typeId 23 :typeMod -1 :collation 0 :location 62} {CONST :consttype 23 :consttypmod -1 :constcollid 0 :constlen 4 :constbyval true :constisnull false :location 71 :constvalue 4 [ 109 7 0 0 0 0 0 0 ]}) :location 68} {OPEXPR :opno 523 :opfuncid 149 :opresulttype 16 :opretset false :opcollid 0 :inputcollid 0 :args ({COERCETODOMAINVALUE :typeId 23 :typeMod -1 :collation 0 :location 82} {CONST :consttype 23 :consttypmod -1 :constcollid 0 :constlen 4 :constbyval true :constisnull false :location 91 :constvalue 4 [ 107 8 0 0 0 0 0 0 ]}) :location 88}) :location 77}                                                                                                                 | ((VALUE >= 1901) AND (VALUE <= 2155))
 actor_pkey                     |        16605 | p       | f             | f           | t            |    16646 |        0 |    16781 |         0 |             |             |               | t          |           0 | t            | {1}    |         |           |           |           |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 address_pkey                   |        16605 | p       | f             | f           | t            |    16687 |        0 |    16783 |         0 |             |             |               | t          |           0 | t            | {1}    |         |           |           |           |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 category_pkey                  |        16605 | p       | f             | f           | t            |    16653 |        0 |    16785 |         0 |             |             |               | t          |           0 | t            | {1}    |         |           |           |           |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 city_pkey                      |        16605 | p       | f             | f           | t            |    16694 |        0 |    16787 |         0 |             |             |               | t          |           0 | t            | {1}    |         |           |           |           |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 country_pkey                   |        16605 | p       | f             | f           | t            |    16701 |        0 |    16789 |         0 |             |             |               | t          |           0 | t            | {1}    |         |           |           |           |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 customer_pkey                  |        16605 | p       | f             | f           | t            |    16635 |        0 |    16791 |         0 |             |             |               | t          |           0 | t            | {1}    |         |           |           |           |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 film_actor_pkey                |        16605 | p       | f             | f           | t            |    16672 |        0 |    16793 |         0 |             |             |               | t          |           0 | t            | {1,2}  |         |           |           |           |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 film_category_pkey             |        16605 | p       | f             | f           | t            |    16676 |        0 |    16795 |         0 |             |             |               | t          |           0 | t            | {1,2}  |         |           |           |           |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 film_pkey                      |        16605 | p       | f             | f           | t            |    16660 |        0 |    16797 |         0 |             |             |               | t          |           0 | t            | {1}    |         |           |           |           |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 inventory_pkey                 |        16605 | p       | f             | f           | t            |    16718 |        0 |    16799 |         0 |             |             |               | t          |           0 | t            | {1}    |         |           |           |           |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 language_pkey                  |        16605 | p       | f             | f           | t            |    16725 |        0 |    16801 |         0 |             |             |               | t          |           0 | t            | {1}    |         |           |           |           |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 payment_pkey                   |        16605 | p       | f             | f           | t            |    16737 |        0 |    16803 |         0 |             |             |               | t          |           0 | t            | {1}    |         |           |           |           |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 rental_pkey                    |        16605 | p       | f             | f           | t            |    16743 |        0 |    16805 |         0 |             |             |               | t          |           0 | t            | {1}    |         |           |           |           |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 staff_pkey                     |        16605 | p       | f             | f           | t            |    16755 |        0 |    16807 |         0 |             |             |               | t          |           0 | t            | {1}    |         |           |           |           |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 store_pkey                     |        16605 | p       | f             | f           | t            |    16766 |        0 |    16809 |         0 |             |             |               | t          |           0 | t            | {1}    |         |           |           |           |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 customer_address_id_fkey       |        16605 | f       | f             | f           | t            |    16635 |        0 |    16783 |     16687 | c           | r           | s             | t          |           0 | t            | {6}    | {1}     | {533}     | {96}      | {94}      |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 film_actor_actor_id_fkey       |        16605 | f       | f             | f           | t            |    16672 |        0 |    16781 |     16646 | c           | r           | s             | t          |           0 | t            | {1}    | {1}     | {533}     | {96}      | {94}      |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 film_actor_film_id_fkey        |        16605 | f       | f             | f           | t            |    16672 |        0 |    16797 |     16660 | c           | r           | s             | t          |           0 | t            | {2}    | {1}     | {533}     | {96}      | {94}      |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 film_category_category_id_fkey |        16605 | f       | f             | f           | t            |    16676 |        0 |    16785 |     16653 | c           | r           | s             | t          |           0 | t            | {2}    | {1}     | {533}     | {96}      | {94}      |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 film_category_film_id_fkey     |        16605 | f       | f             | f           | t            |    16676 |        0 |    16797 |     16660 | c           | r           | s             | t          |           0 | t            | {1}    | {1}     | {533}     | {96}      | {94}      |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 film_language_id_fkey          |        16605 | f       | f             | f           | t            |    16660 |        0 |    16801 |     16725 | c           | r           | s             | t          |           0 | t            | {5}    | {1}     | {533}     | {96}      | {94}      |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 fk_address_city                |        16605 | f       | f             | f           | t            |    16687 |        0 |    16787 |     16694 | a           | a           | s             | t          |           0 | t            | {5}    | {1}     | {533}     | {96}      | {94}      |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 fk_city                        |        16605 | f       | f             | f           | t            |    16694 |        0 |    16789 |     16701 | a           | a           | s             | t          |           0 | t            | {3}    | {1}     | {533}     | {96}      | {94}      |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 inventory_film_id_fkey         |        16605 | f       | f             | f           | t            |    16718 |        0 |    16797 |     16660 | c           | r           | s             | t          |           0 | t            | {2}    | {1}     | {533}     | {96}      | {94}      |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 payment_customer_id_fkey       |        16605 | f       | f             | f           | t            |    16737 |        0 |    16791 |     16635 | c           | r           | s             | t          |           0 | t            | {2}    | {1}     | {533}     | {96}      | {94}      |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 payment_rental_id_fkey         |        16605 | f       | f             | f           | t            |    16737 |        0 |    16805 |     16743 | c           | n           | s             | t          |           0 | t            | {4}    | {1}     | {96}      | {96}      | {96}      |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 payment_staff_id_fkey          |        16605 | f       | f             | f           | t            |    16737 |        0 |    16807 |     16755 | c           | r           | s             | t          |           0 | t            | {3}    | {1}     | {533}     | {96}      | {94}      |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 rental_customer_id_fkey        |        16605 | f       | f             | f           | t            |    16743 |        0 |    16791 |     16635 | c           | r           | s             | t          |           0 | t            | {4}    | {1}     | {533}     | {96}      | {94}      |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
 rental_inventory_id_fkey       |        16605 | f       | f             | f           | t            |    16743 |        0 |    16799 |     16718 | c           | r           | s             | t          |           0 | t            | {3}    | {1}     | {96}      | {96}      | {96}      |           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 
