 indexrelid | indrelid | indnatts | indisunique | indisprimary | indisexclusion | indimmediate | indisclustered | indisvalid | indcheckxmin | indisready | indislive | indisreplident |  indkey  | indcollation |       indclass       | indoption | indexprs | indpred 
------------+----------+----------+-------------+--------------+----------------+--------------+----------------+------------+--------------+------------+-----------+----------------+----------+--------------+----------------------+-----------+----------+---------
       2831 |     2830 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
       2833 |     2832 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
       2835 |     2834 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
       2837 |     2836 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
       2839 |     2838 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
       3599 |     3598 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
       2841 |     2840 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
       2337 |     2336 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
       2847 |     2846 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
       2967 |     2966 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
       4061 |     4060 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
       7001 |     7000 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
       7003 |     7002 |        2 | t           | t            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2      | 0 0          | 1981 1978            | 0 0       |          | 
       2650 |     2600 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 0            | 1981                 | 0         |          | 
       2651 |     2601 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1        | 0            | 10040                | 0         |          | 
       2652 |     2601 |        1 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | -2       | 0            | 1981                 | 0         |          | 
       2653 |     2602 |        4 | t           | f            | f              | t            | f              | t          | f            | t          | t         | f              | 1 2 3 4  | 0 0 0 0      | 1981 1981 1981 1979  | 0 0 0 0   |          | 
