 table_catalog |    table_schema    |       table_name        | table_type | self_referencing_column_name | reference_generation | user_defined_type_catalog | user_defined_type_schema | user_defined_type_name | is_insertable_into | is_typed | commit_action 
---------------+--------------------+-------------------------+------------+------------------------------+----------------------+---------------------------+--------------------------+------------------------+--------------------+----------+---------------
 booktown      | public             | books                   | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | public             | publishers              | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | public             | shipments               | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | public             | states                  | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | public             | my_list                 | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | public             | stock                   | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | public             | numeric_values          | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | public             | daily_inventory         | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | public             | money_example           | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_statistic            | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_type                 | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | public             | customers               | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | public             | book_queue              | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | public             | stock_backup            | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | public             | favorite_books          | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_authid               | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | public             | distinguished_authors   | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | public             | favorite_authors        | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | public             | text_sorting            | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | public             | subjects                | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | public             | alternate_stock         | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | public             | book_backup             | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | public             | authors                 | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | public             | employees               | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | public             | schedules               | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | public             | editions                | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_user_mapping         | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_attribute            | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_proc                 | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_class                | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_attrdef              | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_constraint           | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_inherits             | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_index                | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_operator             | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_opfamily             | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_opclass              | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_am                   | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_amop                 | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_amproc               | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_language             | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_largeobject_metadata | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_database             | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_aggregate            | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_rewrite              | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_trigger              | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_event_trigger        | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_description          | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_cast                 | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_enum                 | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_namespace            | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_conversion           | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_depend               | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_db_role_setting      | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_tablespace           | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_pltemplate           | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_auth_members         | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_shdepend             | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_shdescription        | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_ts_config            | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_ts_config_map        | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_ts_dict              | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_ts_parser            | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_ts_template          | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_extension            | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_foreign_data_wrapper | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_foreign_server       | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_foreign_table        | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_policy               | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_replication_origin   | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_default_acl          | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_seclabel             | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_shseclabel           | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_collation            | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_range                | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pg_transform            | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pipeline_combine        | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
 booktown      | pg_catalog         | pipeline_query          | BASE TABLE |                              |                      |                           |                          |                        | YES                | NO       | 
